"TP53","CDKN1A","CDKN2A","SIRT1","RB1","TERT","CDK4","CDKN2B","MAPK1","MAPK14","MTOR","TERF2","UBC","CDK6","HMGA2","E2F1","CCNA2","MDM2","CXCL8","HSPA8","LMNB1","MAPK3","MAPKAPK5","ATM","CDKN1B","score"
"TCGA-A7-A13E-01A-11R-A277-07",32.2374,25.2032,1.9034,56.0783,42.1548,0.4719,39.3028,10.6403,102.8148,36.6505,45.9154,13.2128,384.7464,80.2777,0.1418,37.6611,68.5897,20.3944,7.4861,716.7373,42.1789,30.3441,8.8144,19.1965,205.9068,0.431611579218389
"TCGA-A7-A13G-01B-04R-A22O-07",23.1119,18.635,1.8564,17.1777,18.1279,0.0945,14.2871,9.4191,82.3662,26.4005,32.1416,9.7772,199.1805,7.3251,0.4373,4.0678,5.9955,27.4846,0.4443,473.58,11.7567,19.6395,13.8145,22.266,33.716,0.172360398722539
"TCGA-A7-A13H-01A-11R-A22K-07",50.9482,106.3275,6.6599,27.2274,29.884,0.1203,52.6882,19.4054,59.0364,35.8571,28.8156,17.2322,509.2023,8.8247,0.0394,12.3982,7.7743,15.7185,8.2164,626.1629,21.7904,111.5384,11.6139,6.8548,275.5725,0.14408529307397
"TCGA-A7-A26E-01A-11R-A277-07",5.6717,19.1177,1.6433,22.3115,37.1217,0,28.3609,29.2382,58.7755,21.4575,15.3036,4.187,536.5275,7.3546,0.1532,2.6426,18.4044,21.5279,2.0425,610.8636,18.1959,10.724,6.4457,16.078,79.2054,0.254975966966676
"TCGA-A7-A26H-01A-11R-A169-07",30.2256,98.3304,5.7077,32.3184,60.5084,0.0682,54.7676,27.864,100.4325,37.4544,27.0736,24.5711,779.1435,6.9758,0.1251,11.6975,16.4327,27.0501,7.7787,1174.1988,44.9618,76.5868,8.6378,20.7455,168.1057,0.50519371592632
"TCGA-A7-A26I-01B-06R-A22O-07",35.7772,53.2963,25.3817,10.9288,11.1817,0.053,18.9264,32.4162,88.1866,46.3698,41.3871,11.8414,238.0551,7.3221,0.6106,10.4568,16.9714,12.7911,2.0082,689.193,29.5025,12.2267,10.9896,12.6832,20.0168,0.358492054469221
"TCGA-A7-A3IY-01A-21R-A21T-07",54.6474,212.9573,4.9458,22.24,50.6578,0.1411,53.2309,12.1285,76.8048,27.8878,13.9872,19.2766,664.8802,9.995,0.1228,20.4085,15.8085,20.1142,12.6328,1318.0902,40.0117,55.379,10.6143,7.5375,145.7036,0.28071873286235
"TCGA-A7-A3IZ-01A-11R-A213-07",39.2419,94.1171,8.0385,43.0651,42.0518,0.1419,48.6345,41.2074,110.0914,38.6647,38.6057,20.1587,474.6091,2.2999,0.0604,54.8975,20.5884,44.3984,3.1899,1198.5456,65.0292,108.1328,14.1979,10.1567,501.4217,0.314768218329623
"TCGA-A7-A3J0-01A-11R-A213-07",64.072,91.3103,4.6172,27.5325,57.0207,0.2114,49.9618,6.1995,79.6802,27.0338,24.096,26.1703,492.4802,18.7011,0.0123,13.5263,18.048,12.4357,1.1179,1511.4423,33.006,65.1875,8.2043,13.1924,130.1994,0.596745056292138
"TCGA-A7-A3J1-01A-11R-A213-07",68.2328,81.8978,6.1773,33.2948,47.3724,0.2796,54.162,28.3562,89.6062,30.2939,35.4901,21.2063,623.6546,5.7895,0.1064,19.9002,10.9729,18.334,1.5708,719.576,24.7858,147.5376,13.3444,12.0774,56.0768,0.273960450337108
